,cv_score,sample_type,score,fold,key
2,0.575,majority,roc_auc,2,256
3,0.4888888888888889,majority,roc_auc,3,256
0,0.0,majority,mcc,0,256
1,-0.1781308888611299,majority,mcc,1,256
2,-0.0704780765735282,majority,mcc,2,256
3,-0.061113233135214086,majority,mcc,3,256
0,0.16132478632478633,standard,accuracy,0,128
1,0.10834236186348863,standard,accuracy,1,128
2,0.1776536312849162,standard,accuracy,2,128
3,0.11776649746192894,standard,accuracy,3,128
0,0.09013601290497097,standard,f1,0,128
1,0.05232798777109724,standard,f1,1,128
2,0.09381633269755912,standard,f1,2,128
3,0.064401229407227,standard,f1,3,128
0,0.5997027993775496,standard,roc_auc,0,128
1,0.5294247630611092,standard,roc_auc,1,128
2,0.5650057110810367,standard,roc_auc,2,128
3,0.4910863743743811,standard,roc_auc,3,128
0,0.05200968644085499,standard,mcc,0,128
1,-0.045076890030370666,standard,mcc,1,128
2,0.04943012825850895,standard,mcc,2,128
3,-0.008569253140878893,standard,mcc,3,128
0,0.07142857142857142,majority,accuracy,0,128
1,0.0,majority,accuracy,1,128
2,0.14285714285714285,majority,accuracy,2,128
3,0.05555555555555555,majority,accuracy,3,128
0,0.01818181818181818,majority,f1,0,128
1,0.0,majority,f1,1,128
2,0.05357142857142858,majority,f1,2,128
3,0.022222222222222223,majority,f1,3,128
0,0.6222222222222222,majority,roc_auc,0,128
1,0.5388888888888889,majority,roc_auc,1,128
2,0.5888888888888889,majority,roc_auc,2,128
3,0.4962962962962963,majority,roc_auc,3,128
0,-0.10721125348377948,majority,mcc,0,128
1,-0.19377278632539327,majority,mcc,1,128
2,0.013196793041081598,majority,mcc,2,128
3,-0.06548543983214511,majority,mcc,3,128
